x0,x1,label
-0.595942,4.776149,1
0.372969,3.624411,1
-8.633179,3.318542,0
-9.388264,5.963544,0
-0.361837,5.760219,1
-1.915521,2.798355,1
-6.482361,4.714367,0
-1.677153,5.386752,1
-0.411941,3.965382,1
-8.401419,6.769315,0
-7.320542,6.271308,0
-0.925302,4.648458,1
-9.511222,6.047620,0
-10.402490,6.765847,0
-1.321065,5.342639,1
-0.862506,6.210005,1
-7.590181,4.190876,0
-3.955221,3.728993,1
0.040335,1.115562,1
-1.800493,2.879102,1
-9.251561,7.695469,0
-7.815340,6.410331,0
-0.027549,5.139091,1
-8.603035,3.916666,0
-2.555125,4.725399,1
-0.676086,3.057337,1
-1.005435,6.021428,1
-9.906145,4.338356,0
-8.528297,3.857561,0
-1.677390,3.733075,1
-9.602169,5.440845,0
-1.914279,4.300283,1
0.134453,4.273405,1
-9.364898,6.885340,0
-0.858602,4.557076,1
-1.840584,4.311816,1
-2.227875,2.632825,1
-5.040554,4.866268,0
-0.484660,4.287625,1
-8.674174,5.322611,0
-10.443554,7.003577,0
-9.822313,4.890661,0
-8.714019,4.655522,0
-10.171769,4.822963,0
-6.669852,5.343096,0
-2.949860,4.989995,1
-7.867475,5.284748,0
-1.374562,3.871435,1
-6.927990,4.892460,0
-2.092381,5.564019,1
-2.790411,4.825637,1
-1.116272,3.910661,1
1.050498,1.080707,1
-6.761769,5.786589,0
-6.241767,3.801647,0
-6.858287,5.970003,0
-1.452388,2.773288,1
-1.389507,5.488004,1
-0.590478,4.029801,1
-0.513150,3.212423,1
-0.297454,4.648617,1
-2.258624,5.067143,1
0.698543,4.406683,1
-8.557346,5.388061,0
-0.950634,4.379764,1
-9.149786,2.941972,0
-2.820895,6.196492,1
-0.561082,5.274505,1
-8.718066,2.848672,0
-0.726559,3.279789,1
0.186987,3.055099,1
-6.980264,6.575082,0
0.356956,3.883920,1
-10.596360,5.330836,0
-8.075465,6.480408,0
-9.535888,5.253786,0
-1.357064,4.483498,1
-1.545223,3.178119,1
-10.203687,3.986022,0
-2.578214,4.819685,1
0.285516,4.831157,1
-1.854775,5.008448,1
-0.909557,2.603682,1
